Reaction,hasRBP,reactionType
R06081,0,0.0
R00555,0,5.0
R05109,0,5.0
R03428,1,5.0
R06655,0,7.0
R01378,1,1.0
R05978,0,5.0
R04981,0,5.0
R04285,1,4.0
R08223,0,5.0
R06999,0,7.0
R04850,0,4.0
R08754,0,4.0
R09242,0,4.0
R07702,0,4.0
R07217,0,7.0
R09285,0,7.0
R00410,1,5.0
R03262,0,4.0
R07420,0,7.0
R02123,1,4.0
R08282,0,4.0
R00727,1,2.0
R08874,0,7.0
R06738,0,7.0
R03059,0,3.0
R02397,0,4.0
R02236,1,4.0
R06261,1,5.0
R03166,0,7.0
R08822,0,5.0
R02926,1,0.0
R07742,0,7.0
R11576,0,7.0
R01513,1,4.0
R00106,1,4.0
R12323,1,4.0
R03867,1,5.0
R01844,1,5.0
R02596,1,4.0
R03394,0,0.0
R08327,0,4.0
R07385,1,0.0
R05110,0,5.0
R03987,0,5.0
R10115,0,5.0
R11680,0,0.0
R01655,1,0.0
R10827,1,3.0
R11898,0,7.0
R06619,0,7.0
R03863,0,7.0
R01602,0,1.0
R05533,0,7.0
R10751,0,5.0
R08171,0,5.0
R02902,0,5.0
R01578,0,7.0
R04858,1,5.0
R06076,0,5.0
R11220,1,5.0
R01810,0,0.0
R06341,0,7.0
R08716,0,7.0
R12752,0,
R04058,1,5.0
R08192,0,0.0
R12561,0,5.0
R09043,0,7.0
R01938,0,4.0
R01230,1,2.0
R12183,1,5.0
R08990,0,4.0
R02849,1,5.0
R05510,0,0.0
R10682,0,4.0
R08267,0,4.0
R06485,0,5.0
R07383,0,0.0
R04479,0,7.0
R01519,0,0.0
R09086,0,5.0
R01793,1,4.0
R02250,0,0.0
R03914,1,4.0
R04124,0,7.0
R11252,0,7.0
R05874,0,7.0
R03724,0,7.0
R01147,0,7.0
R07845,0,7.0
R08830,0,5.0
R10749,0,7.0
R00181,1,0.0
R07556,0,4.0
R00625,1,4.0
R08143,0,4.0
R03249,0,7.0
R01548,0,5.0
R06350,0,4.0
R10703,0,4.0
R03435,1,0.0
R01056,1,1.0
R05077,0,7.0
R06767,0,7.0
R07103,0,7.0
R07012,0,7.0
R07005,0,7.0
R11265,0,4.0
R05798,0,5.0
R09146,0,4.0
R09185,0,3.0
R09299,0,5.0
R02840,0,4.0
R02116,0,7.0
R05251,0,7.0
R06554,0,7.0
R09803,0,5.0
R08488,0,7.0
R07015,0,4.0
R06870,0,0.0
R08358,0,7.0
R06154,0,4.0
R08019,0,4.0
R05648,0,3.0
R08832,0,4.0
R07822,0,0.0
R04744,1,3.0
R05516,0,7.0
R05665,0,4.0
R11407,0,5.0
R06671,0,7.0
R05578,1,2.0
R07101,0,7.0
R05625,0,5.0
R07642,0,7.0
R12587,0,0.0
R03513,0,5.0
R08428,0,7.0
R06355,0,4.0
R00155,1,0.0
R08745,0,5.0
R04836,0,4.0
R11096,0,4.0
R11529,0,5.0
R07204,0,4.0
R06972,0,0.0
R08560,0,7.0
R09169,0,4.0
R09177,0,5.0
R04854,0,4.0
R01392,1,4.0
R08761,0,4.0
R05927,1,5.0
R08753,0,5.0
R00508,0,0.0
R01166,1,0.0
R02701,0,3.0
R03876,0,7.0
R05868,0,7.0
R00485,0,0.0
R06348,0,7.0
R08055,0,7.0
R09982,0,7.0
R04647,0,5.0
R05446,0,4.0
R04880,1,4.0
R10039,0,0.0
R02541,1,0.0
R07553,0,7.0
R10631,0,5.0
R00916,0,7.0
R03521,0,7.0
R07555,0,7.0
R05942,0,5.0
R00936,1,4.0
R01685,0,4.0
R03912,0,4.0
R05577,1,2.0
R02878,1,4.0
R08883,0,7.0
R01076,1,0.0
R10235,1,0.0
R07748,0,7.0
R06170,0,5.0
R10280,1,1.0
R01390,0,7.0
R08416,0,7.0
R11315,0,7.0
R06070,1,0.0
R12135,0,7.0
R11255,0,7.0
R03352,1,0.0
R04905,0,5.0
R03167,1,4.0
R02557,1,5.0
R06572,0,4.0
R07023,1,5.0
R04631,0,5.0
R09289,0,4.0
R11714,0,5.0
R04467,0,5.0
R04389,0,1.0
R07810,1,0.0
R08048,0,7.0
R00619,0,5.0
R12054,0,7.0
R08984,0,4.0
R01965,1,5.0
R11131,0,7.0
R10826,1,4.0
R01700,1,4.0
R09449,1,4.0
R07212,0,4.0
R00192,1,0.0
R00335,1,0.0
R09409,1,5.0
R01624,1,5.0
R08294,0,4.0
R09038,0,0.0
R04291,1,5.0
R05673,0,5.0
R03634,1,0.0
R07803,0,7.0
R08484,0,7.0
R01560,0,0.0
R01431,1,4.0
R01878,0,0.0
R09165,0,4.0
R06069,1,5.0
R02213,0,4.0
R08579,0,4.0
R04221,0,4.0
R03406,1,4.0
R09373,0,5.0
R00867,1,5.0
R04894,0,4.0
R06033,0,5.0
R06142,1,0.0
R02652,0,1.0
R07052,0,4.0
R06762,0,7.0
R10146,0,7.0
R06041,0,5.0
R08965,0,4.0
R08027,0,7.0
R11493,0,7.0
R04247,1,5.0
R03028,1,4.0
R12156,0,4.0
R01383,0,5.0
R05944,0,5.0
R00357,0,4.0
R08075,0,5.0
R05703,1,4.0
R08217,0,5.0
R01660,0,5.0
R10805,0,5.0
R02749,1,1.0
R03603,0,7.0
R03892,0,7.0
R01666,0,5.0
R01737,0,5.0
R02903,0,5.0
R06359,0,7.0
R06592,0,7.0
R00600,1,5.0
R10212,0,7.0
R04248,0,3.0
R06612,0,7.0
R08315,0,7.0
R03291,1,4.0
R05259,0,4.0
R07098,0,4.0
R07960,0,4.0
R00329,1,0.0
R07889,1,3.0
R01387,0,1.0
R05277,0,4.0
R02128,0,7.0
R12688,1,5.0
R08012,0,7.0
R10619,0,1.0
R01521,0,4.0
R05922,0,5.0
R01117,0,5.0
R07701,0,4.0
R06413,0,4.0
R05968,0,5.0
R12296,0,5.0
R10887,0,3.0
R07545,0,7.0
R03974,0,0.0
R08094,1,4.0
R08011,0,7.0
R05905,0,5.0
R02050,0,5.0
R00702,1,5.0
R01259,0,4.0
R03283,1,4.0
R04496,1,5.0
R01547,1,5.0
R06835,0,0.0
R04805,1,4.0
R02248,0,0.0
R00962,0,5.0
R06274,0,5.0
R12351,0,5.0
R03986,0,0.0
R02180,0,5.0
R12479,1,0.0
R07811,0,0.0
R05845,0,7.0
R08941,0,0.0
R08511,1,5.0
R00197,0,4.0
R10365,0,5.0
R07457,0,4.0
R06013,0,5.0
R03507,0,4.0
R07789,0,7.0
R06751,0,7.0
R07508,0,7.0
R08064,0,7.0
R00565,0,5.0
R09211,0,0.0
R02911,0,5.0
R11118,0,7.0
R09752,0,5.0
R04923,0,7.0
R10480,0,7.0
R08146,1,4.0
R08929,0,7.0
R03744,1,5.0
R06010,1,0.0
R04634,0,0.0
R07050,0,4.0
R03871,0,4.0
R04204,1,3.0
R06923,0,3.0
R08047,0,4.0
R05952,0,5.0
R08606,0,4.0
R10504,0,4.0
R07358,1,4.0
R00423,0,7.0
R00842,0,4.0
R03858,1,5.0
R08013,0,5.0
R04676,0,4.0
R02147,1,5.0
R00160,0,0.0
R02819,1,4.0
R01025,0,4.0
R05722,0,4.0
R01978,1,5.0
R00888,1,3.0
R05548,1,0.0
R01121,0,3.0
R08759,0,4.0
R12436,0,2.0
R08256,0,4.0
R03019,0,5.0
R07682,0,4.0
R08671,0,5.0
R06887,0,7.0
R01802,1,5.0
R03286,0,2.0
R08414,0,7.0
R02457,0,4.0
R01590,0,4.0
R09342,0,7.0
R01565,1,4.0
R08866,0,7.0
R09308,0,3.0
R00512,1,5.0
R04096,0,4.0
R00494,1,0.0
R03195,0,7.0
R06679,0,4.0
R04726,1,5.0
R10928,1,0.0
R07364,1,4.0
R05946,0,5.0
R05411,0,4.0
R03874,0,3.0
R02241,1,5.0
R07509,1,4.0
R08989,0,7.0
R08647,0,5.0
R11180,0,0.0
R03911,0,7.0
R10253,0,5.0
R05321,0,7.0
R06589,0,1.0
R04355,1,5.0
R02503,0,4.0
R09231,0,4.0
R09052,0,7.0
R06331,0,7.0
R10878,0,4.0
R11051,0,4.0
R01940,1,4.0
R12601,0,7.0
R01461,1,5.0
R02051,1,0.0
R06618,0,7.0
R09261,0,7.0
R06080,0,0.0
R11752,0,7.0
R06929,0,7.0
R11375,0,5.0
R00543,1,0.0
R08872,0,7.0
R08237,1,5.0
R06470,0,4.0
R08017,0,4.0
R09345,0,5.0
R03879,0,4.0
R08622,0,5.0
R02055,0,3.0
R07019,0,7.0
R05898,0,7.0
R08073,0,7.0
R12689,1,5.0
R08181,1,0.0
R12024,0,0.0
R05337,0,7.0
R05951,0,7.0
R06152,1,0.0
R11367,0,2.0
R11571,0,7.0
R01206,0,0.0
R05046,0,0.0
R01835,0,4.0
R03444,0,3.0
R06766,0,7.0
R09470,1,4.0
R08659,0,4.0
R05980,1,0.0
R05671,0,7.0
R06748,0,7.0
R09056,0,7.0
R04724,0,4.0
R10040,0,0.0
R04825,0,4.0
R05844,0,7.0
R04300,0,4.0
R00772,0,1.0
R08801,0,7.0
R09130,0,4.0
R07581,0,7.0
R12329,0,0.0
R09240,0,4.0
R02683,0,4.0
R00582,1,0.0
R04048,0,4.0
R07992,0,7.0
R12352,0,2.0
R12025,0,4.0
