Reaction,Type
R00034,3
R04106,4
R10847,1
R12039,5
R05127,4
R11229,5
R01764,3
R00911,0
R10823,2
R07854,3
R04180,0
R03399,4
R08277,4
R07967,4
R12173,4
R08752,5
R10577,4
R01588,4
R00667,5
R12337,5
R06225,0
R11858,3
R10478,7
R06531,5
R02717,5
R03877,2
R03053,5
R07543,3
R11270,5
R08695,3
R11054,4
R01872,4
R02957,4
R05941,5
R09599,2
R10091,2
R05057,7
R11834,3
R07900,7
R09414,7
R02745,0
R02076,4
R00864,7
R06494,5
R09048,7
R10178,5
R05165,5
R00973,3
R09865,4
R10143,4
R10984,4
R09131,4
R06760,7
R04656,5
R10943,2
R03554,5
R12260,3
R11241,5
R08459,7
R09628,3
R03050,5
R00011,4
R10729,4
R05882,5
R07493,4
R06954,4
R09851,7
R07918,0
R10380,5
R03835,5
R04581,5
R05105,5
R11011,4
R06408,4
R00443,5
R11877,4
R05328,5
R08956,5
R01058,4
R11348,4
R04875,7
R10108,7
R09077,4
R10389,4
R00503,5
R08080,7
R10582,0
R12358,4
R10240,5
R04741,4
R05257,4
R10632,5
R07162,4
R07889,3
R11104,0
R01476,5
R10277,3
R06996,7
R09089,5
R06936,4
R05553,3
R03155,4
R07109,0
R03339,4
R05688,4
R00621,4
R06610,4
R11992,4
R00897,5
R06183,5
R08162,0
R03549,4
R06328,7
R05731,4
R06523,3
R12523,4
R10564,5
R11125,5
R06528,0
R04317,0
R01799,5
R01398,5
R02349,4
R10439,5
R10090,2
R07811,0
R08685,4
R01083,3
R01344,5
R06184,5
R05803,5
R04511,5
R12650,4
R06223,5
R07129,5
R03576,5
R09435,7
R11568,7
R09903,3
R04127,5
R08758,4
R06050,5
R08619,5
R12532,0
R05309,4
R06451,5
R06829,5
R02940,4
R02340,3
R03628,4
R10546,0
R01113,4
R01814,4
R07727,4
R09908,1
R10680,5
R11174,5
R00273,4
R07030,7
R02932,5
R09383,5
R10391,3
R08889,4
R10768,2
R06490,5
R10565,4
R08601,0
R07110,0
R02242,5
R05694,7
R01790,0
R07404,2
R03830,0
R08346,4
R09047,5
R04343,5
R02904,7
R08808,5
R06288,7
R09708,1
R08545,3
R10883,1
R12252,4
R12292,5
R12362,4
R10615,4
R11059,4
R06273,5
R10447,5
R07759,4
R03211,0
R04971,7
R04216,5
R10586,5
R06814,5
R08689,4
R05600,3
R04823,4
R00666,4
R09997,5
R12268,4
R07533,5
R00648,4
R06680,5
R06687,5
R09239,7
R11065,1
R12328,5
R03559,4
R10043,4
R06251,5
R09978,2
R11408,3
R09317,4
R08444,7
R12361,4
R05888,7
R03135,4
R12586,7
R00769,5
R00765,0
R00100,4
R05389,1
R04905,5
R05046,0
R10494,3
R10893,5
R01299,4
R07793,4
R01201,5
R00944,0
R06335,7
R07659,5
R00409,3
R00300,4
R06158,0
R10081,4
R02813,3
R08326,4
R05378,3
R07381,0
R03452,4
R05744,2
R03397,4
R08483,7
R11077,3
R09558,3
R10362,4
R09144,7
R09629,3
R09196,7
R02719,0
R05060,7
R01566,0
R01452,4
R11766,7
R06727,7
R11049,4
R10750,7
R06719,5
R08966,5
R00794,4
R10916,4
R02692,5
R02757,5
R11676,4
R01135,2
R01800,5
R08520,4
R04747,5
R12141,4
R04153,5
R02853,0
R12516,0
R03886,4
R01749,4
R05152,4
R11187,0
R08491,7
R08634,3
R07777,4
R03441,4
R00616,5
R00714,4
R03359,3
R04810,4
R11068,7
R08034,4
R01236,5
R09146,4
R03372,0
R03032,3
R09351,5
R05953,5
R06549,7
R07192,4
R04286,3
R08046,4
R07812,0
R05805,5
R10601,4
R06770,5
R05944,5
R04583,5
R07229,4
R04531,5
R04186,4
R06295,4
R05654,4
R02243,3
R04661,5
R11680,0
R09080,4
R06833,4
R01403,4
R04981,5
R11057,4
R12153,4
R01097,4
R10665,4
R07609,5
R00094,4
R11150,4
R04201,4
R10631,5
R10657,5
R10994,2
R01216,5
R10869,5
R05832,4
R00570,5
R05531,5
R08597,1
R00384,4
R02810,4
R01221,4
R01524,4
R12488,3
R00604,4
R09159,4
R03304,5
R04660,5
R12542,4
R01537,7
R11606,4
R10393,3
R11265,4
R06854,4
R09085,5
R01771,5
R02831,3
R00192,0
R10517,4
R01367,3
R03172,4
R08507,7
R01917,2
R01466,3
R06286,4
R03930,4
R11073,1
R05331,5
R11942,0
R07047,4
R11056,4
R02880,4
R02849,5
R01483,0
R09121,3
R08211,4
R10418,4
R02888,5
R10007,3
R09808,4
R04478,3
R08413,7
R11652,4
R03348,5
R11151,4
R10293,5
R10305,5
R03745,4
R01432,1
R08642,4
R05304,5
R03354,5
R05854,7
R00088,0
R08268,4
R12471,5
R09098,5
R04934,7
R00669,0
R09153,7
R11319,5
R00555,5
R12058,4
R03912,4
R07310,0
R05175,1
R09142,7
R05959,7
R07141,4
R12343,5
R06112,0
R10347,0
R00926,2
R03504,3
R12318,4
R03588,5
R04426,4
R08111,4
R10241,3
R02034,4
R09341,7
R10228,4
R00226,5
R07143,4
R09838,4
R03455,5
R09946,5
R12666,5
R10666,3
R06951,1
R01952,7
R11062,5
R10783,4
R02397,4
R08181,0
R04911,0
R12144,4
R04090,0
R11668,7
R12368,4
R11048,4
R11554,5
R00835,4
R04332,5
R06106,0
R07553,7
R10880,7
R06515,2
R01199,4
R03237,5
R05788,0
R02601,3
R11075,3
R10739,7
R11769,7
R08922,4
R07614,5
R03271,5
R10076,4
R01231,2
R01273,0
R09772,5
R03572,4
R11709,4
R09891,3
R10099,5
R07437,4
R01608,4
R02928,4
R04939,5
R03579,0
R11649,4
R00183,0
R09906,1
R02778,0
R02281,4
R08425,7
R04723,5
R05142,0
R11069,7
R01468,5
R09079,4
R02643,4
R09117,3
R12490,3
R01220,4
R07504,5
R11661,7
R08982,0
R01334,0
R03191,4
R04155,7
R05729,4
R03829,5
R08367,5
R01517,5
