atomic_number,valence,charge,degree,hydrogens,radicals,aromacity,mass,VdW_radius
6,4,0,3,0,0,0,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
7,3,0,2,1,0,0,14.007,1.6
7,3,0,2,0,0,0,14.007,1.6
6,4,0,3,0,0,0,12.011,1.7
6,4,0,3,1,0,0,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
17,1,0,1,0,0,0,35.453,1.8
6,4,0,3,0,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,3,0,0,0,12.011,1.7
8,2,0,1,1,0,0,15.999,1.55
8,2,0,1,0,0,0,15.999,1.55
8,2,0,1,0,0,0,15.999,1.55
