src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
2,7,1.0,0,0
2,8,1.0,0,0
3,9,1.0,0,0
3,10,1.0,0,0
3,11,1.0,0,0
4,12,1.0,0,0
5,13,1.0,0,0
5,14,1.0,0,0
6,15,1.0,0,0
6,16,1.0,0,0
17,7,1.0,0,0
8,18,1.0,0,0
8,19,1.0,0,0
9,20,1.0,0,0
9,21,1.0,0,0
10,22,1.0,0,0
12,23,1.0,0,0
14,24,1.0,0,0
15,25,1.0,0,0
16,26,1.0,0,1
24,27,2.0,0,0
25,28,1.0,0,1
26,29,1.0,0,1
26,30,2.0,0,1
28,31,1.0,0,1
28,32,2.0,0,1
29,33,2.0,0,1
29,34,1.0,0,0
31,35,2.0,0,1
31,36,1.0,0,0
33,37,1.0,0,0
35,38,1.0,0,0
5,7,1.0,0,0
9,18,1.0,0,0
10,13,1.0,0,0
12,20,1.0,0,0
15,17,1.0,0,0
17,24,1.0,0,0
